instrument,pct_women,type,number,numbers,NameBox,App
Fiesta,27.14,Unlisted,Fiesta Bloomerang E27 7W RGB+CW WiFi LED Smart Light Bulb Works Echo Alexa with Google Home AC85-265V,1,Wi-Fi Smart Bulb,eFamily Cloud by anpei and pei An
TOOGOO,10.65,Unlisted,TOOGOO Smart Bulb Bluetooth 3.0 Wireless Lamp of Speaker 6W E27 LED ABS Aluminum Lamp Bulb Speaker & Music 2 in 1,1,LED Music Bulb,None
Houkiper,12.34,Unlisted,WiFi Smart Bulb RGB Smart led Light Bulb 2 Pack E27 WiFi Dimmable and Multicolor Light Bulb Compatible with Alexa Echo Google Home Equivalent RGB Color Changing Bulb (6W),2,NA,None
FEIT,17.99,Listed,FEIT Electric Smart WiFi Enhance LED BR30 Flood/Spot Bulb Works with Alexa and Google Assistant (BR30/RGBW/CA/AG),1,FEIT, Feit App
LUXON,12.99,Unlisted,Smart WI-FI LED Light Bulb RGBW Color Changing E26 Base Smart Dimmable Light Bulb Smartphone Controlled Compatible with Alexa/Google Home by LUXON,1,Luxon,Super Warm by developer.ng
Zerodis,7.19,Unlisted,Zerodis Smart Led Light Bulb E27 3W RGB 16 Colors Changing Smartphone Controlled Daylight White LED Candle Night Light Lamp Bulb with Remote Control,1,None,None
Langboss,16.99,Unlisted,Langboss 8W Wireless Bluetooth 4.0 Music E27 RGB+CCT Dimmable Smart LED Bulbs iOS Android Smart Phone APP Control 16 Million Colors Changing,1,Mi Light,Mi-Light by mingjie Lin
iLintek,20.99,Listed,iLintek Bluetooth A19 White and Color Smart LED Light Bulb Multicolor Dimmable Wake Up Night Light Bulbs App Controlled(Support Remote Control) 9W(65W Equivalent) 810lm No Hub Required (A19-9w)1,iLintek,iLintek App
Sylvania,31.73,Listed,Sylvania Smart Home 73693 Sylvania Dimmable Led Lamp 10 W 120 V A19 Medium Screw E26 20000 Hr RGBW Adjustable White and Full Color (Packaging May Vary),1, Osram, Osram Lightify
Kimitech,19.99,Unlisted,Kimitech Smart Bulb WiFi LED Light Bulb Multi Color Dimmable No Hub Required A19 Smartphone Control and Voice Control Compatible with Alexa and Google Assistant,1,Kimitech,e.tuya.com/smartlife
LGIDTECH,11.99,Unlisted,Mi.Light 6W 2.4G WiFi Led Bulb A19 WW+CW Warm White+Cool White Color Dual White CCT Temperature Adjustable Memory Function.Remote B2 T2 Panel and iBox for Smartphone Control All is Sold Separately,1,Mi Light,None
S NMT,13.99,Unlisted,E26 Smart Light Bulb Wi-Fi RGB CCT Lamp Compatible with Alexa and Google Home Assistant Color Changing Tunable Dimmable Bulb with Timer Function Cellphone Control Safety Home Bulb,1,None,e.tuya.com/smartlife
FidgetFidget,22.01,Unlisted,FidgetFidget E27 Wireless Bluetooth Control Music Audio LED RGB Energy Smart Bulb Light Lamp,1,NA,None
Ocamo,12.43,Unlisted,Ocamo WiFi Smart Light Bulb, Intelligent WiFi Bulb RGB+W E27 85-265V,1,None,Tuya Smart Life--e.tuya.com/smartlife
Yosoo,19.99,Unlisted,Yosoo Wi-Fi Smart Light Bulb,7W RGB+W WiFi App Wireless Remote Controlled Dimmable Multicolored LED Light Bulb Home Night lamp Compatible Alexa Google Home(B22),1,Fcmila Bulb,e.tuya.com/smartlife